Name,Race,Age,AgeDesc,Role,RoleDesc,Values,Preferred Class,Pronouns,Sexual Preference,Str,Dex,Con,Wis,Int,Cha,PhysicalDescs,Session Notes
 Leah Chanhenuq,Elf,488,Middle Aged,Glazier ,fits glass into windows and doors.,Provide Structure: Control,Monk,He/They,Masculine,16,17,13,13,15,11," Leah has dim, almond eyes with short, brown hair and is very short.  Leah hates elves and has a smirk.",
 Ivaen Temkhemoq,Elf,14,Child,Brickmaker ,"crafts bricks from clay, stone, or other materials.",Connect to Others: Pleasure,Paladin,He/They,Feminine,16,17,15,11,11,15," Ivaen has beaming, crimson eyes with medium-length, red hair and is very short.  Ivaen cannot stand clutter or dirtiness and has a cigar.",
 Gabreal Ghivinhol,Dwarf,49,Child,Royal Guard ,responsible for the protection of a royal person.,Espiritual Journey: Freedom,Barbarian,They/Them,Masculine,10,20,18,8,7,13," Gabreal has bleak, teal eyes with short, sheer black hair and is very short.  Gabreal is gullible and has a cigar.",
 Sekjus Seva Dronneat,Hill Dwarf,147,Young Adult,Accoucheur/Obstetrician/Midwife ,assists in childbirth and the care of women giving birth.,Connect to Others: Pleasure,Monk,He/Him,Masculine,13,19,15,18,14,8," Sekjus has sooty, teal eyes with medium-length, black hair and is tall.  Sekjus has a drinking problem and has carrying tens of books.",
 Guan Daveda Vonog,Half-Elf,184,Extremely Old,Tanner ,treats the skins and hides of animals to produce leather.,Provide Structure: Control,Wizard,He/They,Feminine,15,14,17,15,13,18," Guan has sooty, blood red eyes with short, dirty blonde hair and is tall.  Guan stinks and has a rose lapel.",
 Ryderus Eldeyr,Half-Orc,15,Young Adult,Senator ,partakes in governmental decision-making after being elected.,Espiritual Journey: Safety,Sorceror,He/They,Feminine,11,13,16,12,13,16," Ryderus has fieery, rose eyes with short, forest green hair and is very short.  Ryderus hates elves and has tattoos lining their forearms.",
Abryia Zosu Ronnead,Wood Elf,457,Middle Aged,Ritualist ,practices or advocates the observance of ritual (formula intended to trigger a magical effect on a person or objects).,Connect to Others: Intimacy,Warlock,She/Her,Either,8,15,10,17,10,15,"Abryia has ashy, coffee eyes with medium-length, sheer black hair and is very short. Abryia hates halflings and has large stains.",
 Yofan Vrongeb Nud,Mountain Dwarf,54,Young Adult,Almoner ,distributes money and food to poor people.,Leave a Mark: Mastery,Warlock,They/Them,Masculine,9,16,17,17,15,15," Yofan has light, red eyes with short, forest green hair and is somewhat short.  Yofan is over confident and has a sniffle.",
 Pera Chavanash,Mountain Dwarf,152,Middle Aged,Interpreter,"interprets language and its meaning, especially within ancient manuscripts.",Leave a Mark: Liberation,Artificer,She/They,Feminine,9,19,11,13,16,11," Pera has uneven, brown eyes with long, brown hair and is very tall.  Pera hates dragons and has a smirk.",
 Aelina Nerilynn,Stout Halfling,78,Middle Aged,High Priest/Pope ,the chief priest of a religion.,Connect to Others: Belonging,Monk,He/They,Either,10,15,15,15,10,8," Aelina has drab, coral pink eyes with medium-length, sheer black hair and is of average height.  Aelina stinks and has a smirk.",
 Lanja Anbebhif,Human,29,Young Adult,Bookbinder ,binds books and wraps scrolls.,Provide Structure: Service,Warlock,He/They,Feminine,13,17,10,10,16,13," Lanja has watery, purple eyes with short, blonde hair and is of average height.  Lanja is lazy and has a limp.",
 Jacoby Lim Grut,Tiefling,38,Middle Aged,Playwright ,writes plays or musicals.,Leave a Mark: Mastery,Artificer,He/Him,Feminine,7,8,15,10,19,11," Jacoby has sickly, blue eyes with medium-length, black hair and is very short.  Jacoby cannot read and has branded forearm.",
 Raen Ghezege,Mountain Dwarf,61,Young Adult,Shipwright ,a carpenter skilled in ship construction and repair.,Leave a Mark: Liberation,Monk,He/Him,Feminine,12,12,14,13,11,14," Raen has fieery, red eyes with short, sheer black hair and is short.  Raen has a smoking problem and has a napsack stuffed to the brim with notes.",
 Hossos Nynkhuubhis,Dwarf,304,Old,Exile ,"lives away from their native country, either from choice or compulsion.",Provide Structure: Control,Wizard,He/They,Either,11,16,17,9,10,18," Hossos has cold, beige eyes with medium-length, red hair and is of average height.  Hossos cannot stand clutter or dirtiness and has a napsack stuffed to the brim with notes.",
 Alisja Hashetaf,Hill Dwarf,1,Child,Teacher ,instructs on a particular skill or subject.,Leave a Mark: Liberation,Sorceror,They/Them,Feminine,12,14,14,15,16,15," Alisja has bright, coffee eyes with long, blonde hair and is short.  Alisja is sloppy and has large stains.",
 Han Gosoha Norrob,Human,36,Middle Aged,Diplomat ,an official representing a country abroad.,Leave a Mark: Liberation,Ranger,He/Him,Masculine,10,13,12,15,10,15," Han has squinted, sapphire eyes with short, red hair and is very short.  Han has a smoking problem and has carrying tens of books.",
 Mattos Horhomin,Half-Orc,14,Young Adult,Chef ,a professional cook trained in the culinary arts.,Leave a Mark: Power,Sorceror,He/They,Masculine,13,13,15,11,16,17," Mattos has beaming, burgundy eyes with long, sheer black hair and is very tall.  Mattos hates dragons and has tattoos framing their face.",
 Camryn Zunuthaf,Gnome,477,Extremely Old,Athlete ,proficient in sports and other forms of physical exercise.,Leave a Mark: Mastery,Bard,He/They,Either,15,16,14,12,18,16," Camryn has muted, lilac eyes with short, sheer black hair and is somewhat tall.  Camryn is gullible and has tattoos framing their face.",
 Cartus Chisothohn,Human,52,Middle Aged,Jeweler ,"designs, makes, and repairs necklaces, bracelets, watches, etc., often containing jewels.",Espiritual Journey: Knowledge,Druid,He/Him,Feminine,13,15,16,14,15,12," Cartus has flashy, tangerine eyes with medium-length, brown hair and is somewhat tall.  Cartus has a gambling problem and has a napsack stuffed to the brim with notes.",
 Halya Kon Mix,Gnome,332,Middle Aged,Accoucheur/Obstetrician/Midwife ,assists in childbirth and the care of women giving birth.,Leave a Mark: Liberation,Barbarian,They/Them,Either,12,17,10,16,14,14," Halya has uneven, amber eyes with long, dark brown hair and is very tall.  Halya stinks and has large stains.",
 Danyel Loth Viser,Forest Gnome,314,Middle Aged,Shapeshifter ,a person with the ability to change their physical form.,Espiritual Journey: Freedom,Fighter,He/Him,Masculine,9,11,15,13,15,13," Danyel has winged, tangerine eyes with short, black hair and is tall.  Danyel cannot stand clutter or dirtiness and has a limp.",
 Kimbera NurtEid,Forest Gnome,309,Middle Aged,Stablehand ,works in a stable.,Connect to Others: Belonging,Bard,She/Her,Either,10,11,13,12,18,12," Kimbera has ashy, grey eyes with medium-length, forest green hair and is somewhat short.  Kimbera cannot do math and has a limp.",
 Danellos Conkhedim,Hill Dwarf,296,Old,Architect ,designs buildings or landscapes and in many cases supervises their construction.,Leave a Mark: Mastery,Sorceror,He/Him,Either,12,16,11,9,15,12," Danellos has pale, brass eyes with medium-length, sheer black hair and is of average height.  Danellos is lazy and has branded forearm.",
 Ellia Therhophe,Hill Dwarf,248,Middle Aged,Longshoreman ,loads and unloads ships in a port.,Connect to Others: Belonging,Bard,He/They,Masculine,7,15,13,17,7,15," Ellia has squinted, coffee eyes with medium-length, red hair and is short.  Ellia has a drinking problem and has carrying tens of books.",
 Dannos ZhoktIim,High Elf,328,Middle Aged,Crossing Sweeper ,sweeps a path ahead of people crossing dirty urban streets in exchange for a gratuity.,Leave a Mark: Liberation,Fighter,They/Them,Feminine,14,18,15,17,18,17," Dannos has sickly, grey eyes with long, blonde hair and is tall.  Dannos does not trust others and has a sniffle.",
 Naethyn Tyrvoril,Stout Halfling,23,Young Adult,Beekeeper ,"owns and breeds bees, especially for their honey.",Connect to Others: Pleasure,Ranger,He/They,Masculine,12,13,18,11,16,18," Naethyn has translucent, red eyes with long, sheer black hair and is tall.  Naethyn is sloppy and has a smirk.",
 Madyisa Vranek Namacagg,Mountain Dwarf,310,Old,Falconer ,"keeps, trains, and hunts with falcons, hawks, or other birds of prey.",Connect to Others: Intimacy,Druid,They/Them,Feminine,8,16,14,17,11,11," Madyisa has squinted, brown eyes with medium-length, dirty blonde hair and is very short.  Madyisa cannot read and has tattoos lining their forearms.",
 Mila HoAc,Half-Elf,61,Young Adult,Actuary ,compiles and analyzes statistics and uses them to calculate risk.,Provide Structure: Innovation,Monk,They/Them,Feminine,15,11,14,19,16,10," Mila has bleak, crimson eyes with medium-length, forest green hair and is somewhat tall.  Mila is over confident and has a napsack stuffed to the brim with notes.",
 Lyuk Ghemmenhahn,High Elf,119,Young Adult,Instrument Maker ,makes and repairs musical instruments.,Espiritual Journey: Knowledge,Artificer,He/They,Either,12,12,12,17,13,13," Lyuk has vivd, pink eyes with short, forest green hair and is of average height.  Lyuk does not trust others and has large stains.",
 Pia Zohano Klullammegg,Elf,426,Middle Aged,Elder ,"a person of a greater age, especially one with a respected position in society.",Connect to Others: Belonging,Fighter,She/They,Masculine,11,10,15,18,8,16," Pia has muddy, coral pink eyes with medium-length, sheer black hair and is very short.  Pia hates tieflings and has tattoos lining their forearms.",
