Name,Race,Age,AgeDesc,Role,RoleDesc,Values,Preferred Class,Pronouns,Sexual Preference,Str,Dex,Con,Wis,Int,Cha,PhysicalDescs,Session Notes
 Camila ZhothOt,Tiefling,122,Extremely Old,Assassin ,"murders through stealth for reasons pertaining to money, politics, or religion.",Leave a Mark: Mastery,Artificer,She/Her,Either,10,9,15,15,11,14," Camila has sooty, lilac eyes with medium-length, forest green hair and is very tall.  Camila hates halflings and has a rose lapel.",
 Nikola Nynkhuubhis,Gnome,77,Young Adult,Ringmaster/Ringmistress ,master of ceremony who introduces the circus acts to the audience.,Provide Structure: Service,Sorceror,He/They,Feminine,12,8,11,13,11,11," Nikola has smokey, aquamarine eyes with short, sheer black hair and is tall.  Nikola cannot read and has tattoos lining their forearms.",
 Lanja TudHeh,Drow Elf,136,Young Adult,Admiral ,commands a fleet or naval squadron.,Leave a Mark: Liberation,Wizard,She/Her,Either,11,18,8,12,18,18," Lanja has faded, azure eyes with medium-length, bright blonde hair and is somewhat short.  Lanja hates dwarves and has carrying tens of books.",
 Ezrus Kesh’mith Jakor,Half-Orc,77,Extremely Old,Optometrist ,examines the eyes for visual defects and prescribes eyeglasses.,Connect to Others: Belonging,Ranger,He/Him,Feminine,12,12,8,11,7,13," Ezrus has beaming, tangerine eyes with long, red hair and is of average height.  Ezrus hates humans and has large stains.",
 Gioseppos Melehox,Mountain Dwarf,360,Extremely Old,Druid ,"a mage attuned to the magical forces of nature, able to shapeshift, call on the elements, communicate with flora and fauna, etc.",Provide Structure: Control,Wizard,She/They,Feminine,16,14,9,12,20,12," Gioseppos has pale, white eyes with medium-length, blonde hair and is of average height.  Gioseppos cannot read and has a rose lapel.",
 Vyntus MilGan,Forest Gnome,16,Child,Maid ,a domestic servant of a household.,Provide Structure: Control,Artificer,He/They,Feminine,13,10,18,9,17,15," Vyntus has bleak, purple eyes with medium-length, blonde hair and is of average height.  Vyntus has a gambling problem and has carrying tens of books.",
 Lina Obetith,Gnome,308,Middle Aged,Drug Lord ,controls a network of persons involved in the illegal drugs trade and transactions.,Leave a Mark: Mastery,Sorceror,He/They,Feminine,15,8,15,18,14,14," Lina has fieery, almond eyes with short, brown hair and is tall.  Lina hates gnomes and has tattoos lining their forearms.",
 Audree Chofi Kregemias,Halfling,134,Old,Luthier ,makes and repairs stringed instruments.,Provide Structure: Control,Druid,They/Them,Either,10,11,12,7,17,17," Audree has bright, brown eyes with medium-length, black hair and is tall.  Audree hates tieflings and has tattoos framing their face.",
 Masnos MihiOhen,Lightfoot Halfling,109,Old,Gongfarmer ,digs out and removes excrement from privies and cesspits.,Provide Structure: Control,Artificer,He/Him,Feminine,12,17,12,10,15,15," Masnos has colorless, yellow eyes with short, black hair and is very short.  Masnos cannot do math and has a limp.",
 Rianos Sursuqo,Forest Gnome,43,Young Adult,Duelist ,skilled in one-on-one combat.,Leave a Mark: Liberation,Cleric,He/They,Either,12,17,16,14,18,12," Rianos has dark, lime eyes with short, sheer black hair and is short.  Rianos hates gnomes and has branded forearm.",
 Graja Ersebaf,Mountain Dwarf,310,Old,Prisoner ,held in confinement as a punishment for crimes they have been convicted of.,Provide Structure: Control,Ranger,She/Her,Masculine,13,15,14,6,17,14," Graja has fieery, auburn eyes with medium-length, dark brown hair and is somewhat tall.  Graja has a drinking problem and has a cigar.",
 Ysak ZhelonNiyac,Mountain Dwarf,56,Young Adult,Minister ,assists with the administration of business.,Leave a Mark: Power,Barbarian,He/They,Either,7,12,15,15,17,16," Ysak has winged, coral pink eyes with short, sheer black hair and is very short.  Ysak hates dwarves and has branded forearm.",
 Olifya GrektMel,Mountain Dwarf,57,Young Adult,Farrier ,trims and shoes horses’ hooves.,Espiritual Journey: Safety,Barbarian,She/Her,Feminine,15,8,7,12,20,12," Olifya has harsh, crimson eyes with long, brown hair and is tall.  Olifya is lazy and has a rose lapel.",
 Zusia TenTen,Stout Halfling,28,Young Adult,Nurse ,"cares for the sick or infirm, especially in a hospital.",Connect to Others: Intimacy,Wizard,She/They,Feminine,17,13,18,13,14,17," Zusia has translucent, cerulean eyes with long, forest green hair and is somewhat tall.  Zusia does not trust others and has carrying tens of books.",
