Name,Race,Age,AgeDesc,Role,RoleDesc,Values,Preferred Class,Pronouns,Sexual Preference,Str,Dex,Con,Wis,Int,Cha,PhysicalDescs,Session Notes
 Havio VrartDaln,Tiefling,113,Extremely Old,Chemist ,engaged in chemical research or experiments.,Connect to Others: Intimacy,Sorceror,He/Him,Either,15,9,9,9,10,13," Havio has deep, chestnut eyes with short, red hair and is very short.  Havio hates dragons and has a rose lapel.",
 Konoros ThortZel,Human,28,Young Adult,Royal Guard ,responsible for the protection of a royal person.,Espiritual Journey: Safety,Cleric,He/Him,Masculine,18,18,10,7,15,17," Konoros has faded, rose eyes with short, forest green hair and is short.  Konoros hates humans and has tattoos framing their face.",
 Kristyan NiedTom,Tiefling,114,Extremely Old,Interpreter,"interprets language and its meaning, especially within ancient manuscripts.",Connect to Others: Pleasure,Warlock,He/Him,Either,11,15,11,12,11,12," Kristyan has winged, beige eyes with short, black hair and is somewhat short.  Kristyan cannot stand clutter or dirtiness and has large stains.",
 Feria Xanynor,Elf,462,Middle Aged,Wordsmith ,draws their power from language and casts by dictation.,Espiritual Journey: Safety,Sorceror,He/They,Masculine,16,17,10,13,15,15," Feria has pale, lilac eyes with short, brown hair and is very tall.  Feria is disloyal and has a limp.",
 Yanna Sezugi,Hill Dwarf,111,Young Adult,Taxonomist ,groups organisms into categories.,Espiritual Journey: Freedom,Fighter,They/Them,Feminine,14,12,16,10,14,13," Yanna has sooty, yellow eyes with long, red hair and is very short.  Yanna hates humans and has branded forearm.",
 Nik Las Zax,Tiefling,62,Middle Aged,Costumer ,makes theatrical costumes.,Leave a Mark: Liberation,Cleric,They/Them,Either,18,18,18,14,10,19," Nik has drab, chestnut eyes with medium-length, forest green hair and is very tall.  Nik cannot stand clutter or dirtiness and has tattoos framing their face.",
 Mena Vlees’khuul Grol,High Elf,286,Young Adult,Instrument Maker ,makes and repairs musical instruments.,Connect to Others: Intimacy,Fighter,He/They,Masculine,13,16,18,14,15,12," Mena has light, yellow eyes with short, blonde hair and is very tall.  Mena stinks and has large stains.",
 Josjen VukZon,Elf,552,Old,Land Surveyor ,establishes maps and boundaries for ownership or other purposes required by government or civil law.,Leave a Mark: Mastery,Rogue,He/Him,Feminine,17,15,13,8,15,14," Josjen has pale, violet eyes with short, forest green hair and is short.  Josjen cannot stand clutter or dirtiness and has a limp.",
 Brynn Mix Sogg,Half-Elf,171,Old,Herder ,"supervises a herd of livestock or makes a living from keeping livestock, especially in open country.",Espiritual Journey: Knowledge,Artificer,He/They,Masculine,16,15,13,12,17,16," Brynn has vibrant, purple eyes with long, brown hair and is very tall.  Brynn is gullible and has tattoos framing their face.",
 Ami Petros,Human,61,Old,Beggar/Pauper ,lives by asking for money or food.,Espiritual Journey: Safety,Ranger,She/They,Feminine,14,8,14,10,16,10," Ami has bleak, olive eyes with medium-length, dark brown hair and is tall.  Ami hates halflings and has a sniffle.",
